PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,CURRENT|1
9.280211179750726,-1.4237055315675378,1.9709179010012197,2.4329959809729,-0.33214994178100443,-1.1946464095839977,0.705661144951059,-0.7191410974032688,-0.18958188650913338,0.05418358094081028,0.23531152460963473,-0.273438
9.280007532589368,-1.424751234369338,1.9690294584434167,2.4333160543425176,-0.33167742790562305,-1.194442496111445,0.70566984877927,-0.723125701814428,-0.19083012652313397,0.05819915379562971,0.23556736853013896,-0.273438
9.279963041972296,-1.4257118275420708,1.9696355149071993,2.4330559835623236,-0.331909405456741,-1.1936929933258635,0.7064481890869513,-0.7244008236276015,-0.19047990590136998,0.05845505614340633,0.23582750624012902,-0.273438
9.280345133523294,-1.424548421016966,1.9690217982866436,2.432978656096483,-0.33194631660167173,-1.1937308920135148,0.7067961601655107,-0.7208713255121127,-0.19032869648780754,0.057980684739423624,0.23577339751574716,-0.273438
9.280458592195396,-1.4249240029427086,1.9689454123975758,2.430833933410358,-0.33175076243856266,-1.1946953404003373,0.7050379732362481,-0.7186626930666563,-0.19393728866582677,0.0570096801896562,0.23735287557969895,-0.273438
9.281125311739222,-1.42235260461228,1.9704090831050085,2.434082994925822,-0.3290450175713597,-1.1938534054738605,0.706579731860903,-0.7254277420055508,-0.1937643668533305,0.049799952969529965,0.2404311843947824,-0.273438
9.281116779525515,-1.4224069291854395,1.9704601913996016,2.434022472799793,-0.3289738113175072,-1.1937116298641821,0.7066785687715776,-0.7256278517980415,-0.19373875691659356,0.0500865851715895,0.24075525724515495,-0.273438
9.280613942438492,-1.422398222042618,1.9704825633216865,2.43322298569879,-0.33141548324718983,-1.1929845897870426,0.707291154717655,-0.7217169516147387,-0.18888779070675593,0.055210430555756536,0.23560612102289796,-0.273438
9.280211783956824,-1.4252528434612524,1.9693447410132918,2.4327958081925747,-0.3322242105636751,-1.1939789371547904,0.7065435798521916,-0.7205345035567614,-0.19044496491715873,0.05791255794299925,0.2359757777277813,-0.273438
9.280349513482845,-1.4245314198488623,1.9690128619379925,2.432971413409871,-0.3319536244989588,-1.193712762383195,0.7068196930507731,-0.720913987853301,-0.19032522688998205,0.05798477334494202,0.2357583480372825,-0.273438
