0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.5547624,-0.7703879,0.7108818,-0.010563001,0.8022836,0.69392264,0.6042985,2.311312,1.1789649,0.9704881,-2.291038,-1.4085382,-1.6053143,0.41504455,1.0060688,-0.94927764,2.2714047,-1.1931787,1.0020453,-0.98016584,-0.0726337,-0.10534273,-0.15345037,-2.715133,-3.1522496,0.91360855,-2.1794622,0.62224126,0.4485252,1.2746737,2.036769,-1.8108311
2.5540047,-0.7714889,0.7100678,-0.0088799,0.8013445,0.6933858,0.6046136,2.31224,1.1785799,0.9708993,-2.2918286,-1.4087179,-1.6048299,0.4160276,1.0076735,-0.94917965,2.2697294,-1.1936955,1.000996,-0.9807045,-0.07437951,-0.10379389,-0.15460975,-2.7155585,-3.1509416,0.9114176,-2.1796691,0.62200266,0.44880503,1.2755802,2.0360005,-1.8113054
2.554512,-0.7715535,0.7099221,-0.0092517845,0.8016598,0.69306517,0.6045792,2.3119318,1.1786706,0.9707767,-2.291866,-1.4087719,-1.6049818,0.4162621,1.0078763,-0.94928014,2.2703516,-1.1937281,1.0011425,-0.9808568,-0.0746068,-0.10426906,-0.1546573,-2.7158191,-3.1518342,0.9119457,-2.1797643,0.62148046,0.44842467,1.2760407,2.0355532,-1.8114808
2.5549345,-0.7710088,0.7105132,-0.010245968,0.8022614,0.6934358,0.60469675,2.311525,1.1787517,0.9705194,-2.2911081,-1.4087538,-1.6052915,0.41574186,1.0063751,-0.9495094,2.2706745,-1.1932936,1.0016063,-0.9802583,-0.07321326,-0.105201796,-0.15406644,-2.7156582,-3.1520195,0.9124898,-2.179709,0.62193424,0.44819853,1.2756957,2.036031,-1.8111472
2.5542204,-0.77032226,0.7099556,-0.009425953,0.8021696,0.69365084,0.6043587,2.3116035,1.1787144,0.9702784,-2.2913072,-1.4085392,-1.605362,0.41523856,1.0066272,-0.9492204,2.270722,-1.1934433,1.0011159,-0.98029023,-0.0740259,-0.1048515,-0.15390524,-2.7152092,-3.151941,0.91226,-2.1795704,0.62184227,0.44826087,1.275794,2.0359817,-1.8106151
2.554274,-0.7708405,0.7104218,-0.009955991,0.80193335,0.6934391,0.6039077,2.3112857,1.1791594,0.96980464,-2.2917678,-1.4083456,-1.6057675,0.41513824,1.0064039,-0.9487808,2.271376,-1.1932342,1.0011396,-0.98077947,-0.07300075,-0.10489605,-0.15374722,-2.7151313,-3.1524158,0.91385037,-2.1792393,0.6223745,0.44816068,1.2746485,2.0360131,-1.8105297
2.554427,-0.7710552,0.7103304,-0.009913683,0.8019989,0.6936788,0.6046703,2.311873,1.1789417,0.9706691,-2.2917526,-1.4089895,-1.6051942,0.41586006,1.0071641,-0.9489486,2.2705307,-1.1934284,1.0011747,-0.9807711,-0.07355315,-0.10473118,-0.15448427,-2.7155833,-3.151507,0.9123038,-2.1793745,0.62249714,0.44870585,1.2749647,2.036592,-1.811159
2.554383,-0.7700988,0.7102315,-0.0098169595,0.8021459,0.6940019,0.60439193,2.3115497,1.1788696,0.9709258,-2.291474,-1.4088024,-1.6053224,0.4150862,1.0065737,-0.94895554,2.2710607,-1.1937001,1.0015322,-0.98054004,-0.073556565,-0.10494828,-0.15385127,-2.7151241,-3.1520805,0.9127469,-2.1795225,0.62198293,0.4484213,1.2757162,2.036471,-1.8111295
2.554657,-0.77057683,0.71111447,-0.010532569,0.8021251,0.693947,0.60403895,2.3112638,1.1791259,0.97018397,-2.2912295,-1.4083607,-1.6054796,0.41488194,1.0058804,-0.9490787,2.2716937,-1.1930674,1.0018222,-0.9803905,-0.07238508,-0.105529085,-0.15329745,-2.7150137,-3.1525302,0.91418415,-2.1795762,0.6223106,0.44830075,1.2745621,2.0365043,-1.8106551
2.5543802,-0.7715449,0.7102469,-0.009160187,0.8016265,0.6933132,0.6047613,2.3120794,1.1786057,0.97076064,-2.2914853,-1.4087411,-1.6048543,0.4161604,1.0074373,-0.94948506,2.270098,-1.1934148,1.0012002,-0.98035157,-0.07409846,-0.10419169,-0.15442137,-2.7156644,-3.1512594,0.91160256,-2.1798577,0.6218631,0.44877124,1.2755527,2.0359535,-1.8111926
