PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,target
-13.3089285,3.0028245,-2.8035831,1.1750008,0.9036197,-0.299258,-0.3032571,-0.35229087,-0.5892635,0.30349016,-0.13679466,0.052572995,0.18778025,0.88854045
-13.308819,3.0039608,-2.8016753,1.1756508,0.9036637,-0.29832667,-0.30376697,-0.35211676,-0.5883992,0.30343354,-0.13664389,0.052601546,0.18788318,0.88854045
-13.308656,3.0026734,-2.8036027,1.1756046,0.9036489,-0.2994758,-0.3053487,-0.35361317,-0.59125066,0.30426663,-0.13682625,0.053853303,0.18911444,0.88854045
-13.308671,3.0029318,-2.8032112,1.1757097,0.9035725,-0.29922605,-0.3050871,-0.3537648,-0.5916767,0.30414295,-0.13663217,0.05364215,0.18905006,0.88854045
-13.308734,3.0030649,-2.8030148,1.17576,0.9035949,-0.2991506,-0.30511022,-0.35366857,-0.59169036,0.30431283,-0.13653046,0.053775102,0.1889128,0.88854045
-13.308703,3.0035245,-2.8023334,1.1758772,0.90338,-0.29862103,-0.30447978,-0.35401753,-0.5927752,0.30419725,-0.1360273,0.053348552,0.1887408,0.88854045
-13.3087,3.00131,-2.80337,1.17575,0.9049836,-0.2994849,-0.3055547,-0.3537429,-0.59070307,0.30610055,-0.13443276,0.05444696,0.18828224,0.88854045
-13.308708,3.0026724,-2.803606,1.1756223,0.90367573,-0.29948658,-0.30534488,-0.35358703,-0.5912528,0.30426592,-0.13680491,0.053835124,0.18907307,0.88854045
-13.309108,3.003105,-2.803359,1.1744026,0.9035364,-0.2989251,-0.30120617,-0.35095018,-0.58728683,0.30289155,-0.13671792,0.051481083,0.1864361,0.88854045
-13.30913,3.00255,-2.8016958,1.175195,0.90509385,-0.29840088,-0.3022694,-0.3507903,-0.58511704,0.30434412,-0.13462988,0.052075893,0.18594272,0.88854045
-13.308638,3.0022776,-2.8041978,1.1754644,0.90380675,-0.29991487,-0.30591875,-0.3532766,-0.59033287,0.30451518,-0.13722411,0.054342095,0.1892296,0.88854045
-13.308667,3.0028012,-2.8034048,1.1756456,0.90364844,-0.29938227,-0.30538142,-0.3535424,-0.59126526,0.30444288,-0.13673842,0.05400504,0.18902151,0.88854045
-13.308909,3.0010755,-2.8042731,1.1770394,0.90488535,-0.30024576,-0.3034702,-0.35047174,-0.5890425,0.30264705,-0.1331375,0.05439856,0.18558453,0.88854045
-13.308974,3.0014865,-2.8033133,1.1751342,0.9049415,-0.29920548,-0.30344498,-0.3523826,-0.58880556,0.30549538,-0.13429898,0.053234905,0.18690602,0.88854045
-13.3088665,3.003514,-2.8025494,1.1751927,0.9033863,-0.29859576,-0.30273056,-0.3525472,-0.59024936,0.3035596,-0.13626137,0.052403357,0.18754669,0.88854045
-13.308967,3.0012915,-2.8035936,1.1751095,0.90504724,-0.29947394,-0.3038038,-0.35221955,-0.58818483,0.30546713,-0.13461682,0.053466078,0.18700849,0.88854045
-13.308902,3.0032175,-2.802989,1.1751207,0.9035122,-0.2989112,-0.3030262,-0.35239857,-0.5896988,0.3035378,-0.13654155,0.052531153,0.18766133,0.88854045
-13.308826,3.0025742,-2.8042927,1.1769102,0.903523,-0.3001361,-0.30327833,-0.3503132,-0.58963555,0.3009814,-0.13544995,0.05397077,0.18632118,0.88854045
-13.30881,3.0038655,-2.801825,1.175591,0.90365094,-0.2983623,-0.3036937,-0.3521654,-0.58850735,0.3034199,-0.13661492,0.052513942,0.18789022,0.88854045
-13.3089,3.002332,-2.8018384,1.1757175,0.9051053,-0.29858905,-0.3042366,-0.352068,-0.5874309,0.30539614,-0.13441575,0.05338885,0.18707721,0.88854045
-13.308819,3.003394,-2.8030686,1.1771841,0.9032404,-0.29932842,-0.30245376,-0.35076585,-0.5910351,0.30075014,-0.13478908,0.053420004,0.18607469,0.88854045
