latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,target,split
0.0,0.0,0.0,1.3061559,0.0,0.0,0.0,0.19492021,0.0,0.0,0.0,0.0,4.213106,0.0,6.5257964,0.0,0.0,0.0,1.0427185,0.0,0.0,0.0,0.0,0.0,4.6421824,0.88854045,train
0.0,0.0,0.0,1.3063451,0.0,0.0,0.0,0.19537906,0.0,0.0,0.0,0.0,4.2134795,0.0,6.5255685,0.0,0.0,0.0,1.0433154,0.0,0.0,0.0,0.0,0.0,4.6422114,0.88854045,train
0.0,0.0,0.0,1.3065007,0.0,0.0,0.0,0.19519009,0.0,0.0,0.0,0.0,4.2134013,0.0,6.525737,0.0,0.0,0.0,1.043539,0.0,0.0,0.0,0.0,0.0,4.642516,0.88854045,train
0.0,0.0,0.0,1.3060747,0.0,0.0,0.0,0.19537823,0.0,0.0,0.0,0.0,4.213339,0.0,6.5251784,0.0,0.0,0.0,1.0433189,0.0,0.0,0.0,0.0,0.0,4.6421604,0.88854045,train
0.0,0.0,0.0,1.3063083,0.0,0.0,0.0,0.19433865,0.0,0.0,0.0,0.0,4.21276,0.0,6.5246477,0.0,0.0,0.0,1.043128,0.0,0.0,0.0,0.0,0.0,4.642069,0.88854045,train
0.0,0.0,0.0,1.3059906,0.0,0.0,0.0,0.19591755,0.0,0.0,0.0,0.0,4.2149634,0.0,6.5289283,0.0,0.0,0.0,1.0439578,0.0,0.0,0.0,0.0,0.0,4.6443486,0.88854045,train
0.0,0.0,0.0,1.306122,0.0,0.0,0.0,0.19596027,0.0,0.0,0.0,0.0,4.2150483,0.0,6.528958,0.0,0.0,0.0,1.0438714,0.0,0.0,0.0,0.0,0.0,4.6442757,0.88854045,train
0.0,0.0,0.0,1.3061116,0.0,0.0,0.0,0.1947241,0.0,0.0,0.0,0.0,4.213166,0.0,6.526165,0.0,0.0,0.0,1.04305,0.0,0.0,0.0,0.0,0.0,4.6425595,0.88854045,train
0.0,0.0,0.0,1.306166,0.0,0.0,0.0,0.19550183,0.0,0.0,0.0,0.0,4.213037,0.0,6.5255404,0.0,0.0,0.0,1.0428774,0.0,0.0,0.0,0.0,0.0,4.641778,0.88854045,train
0.0,0.0,0.0,1.3060298,0.0,0.0,0.0,0.1954689,0.0,0.0,0.0,0.0,4.2130265,0.0,6.5255957,0.0,0.0,0.0,1.0429575,0.0,0.0,0.0,0.0,0.0,4.6418505,0.88854045,train
0.0,0.0,0.0,1.3061206,0.0,0.0,0.0,0.19471079,0.0,0.0,0.0,0.0,4.2130866,0.0,6.526078,0.0,0.0,0.0,1.0430557,0.0,0.0,0.0,0.0,0.0,4.6425586,0.88854045,train
0.0,0.0,0.0,1.306221,0.0,0.0,0.0,0.19548921,0.0,0.0,0.0,0.0,4.2129683,0.0,6.525484,0.0,0.0,0.0,1.0428438,0.0,0.0,0.0,0.0,0.0,4.641781,0.88854045,train
0.0,0.0,0.0,1.3061206,0.0,0.0,0.0,0.19471079,0.0,0.0,0.0,0.0,4.2130866,0.0,6.526078,0.0,0.0,0.0,1.0430557,0.0,0.0,0.0,0.0,0.0,4.6425586,0.88854045,train
0.0,0.0,0.0,1.3061333,0.0,0.0,0.0,0.19492081,0.0,0.0,0.0,0.0,4.213103,0.0,6.525786,0.0,0.0,0.0,1.0427377,0.0,0.0,0.0,0.0,0.0,4.642183,0.88854045,train
0.0,0.0,0.0,1.3060198,0.0,0.0,0.0,0.19488724,0.0,0.0,0.0,0.0,4.213095,0.0,6.5258527,0.0,0.0,0.0,1.0427984,0.0,0.0,0.0,0.0,0.0,4.642256,0.88854045,train
0.0,0.0,0.0,1.3065593,0.0,0.0,0.0,0.19473268,0.0,0.0,0.0,0.0,4.2131658,0.0,6.5263424,0.0,0.0,0.0,1.042958,0.0,0.0,0.0,0.0,0.0,4.642539,0.88854045,train
0.0,0.0,0.0,1.3061961,0.0,0.0,0.0,0.19469693,0.0,0.0,0.0,0.0,4.2132916,0.0,6.5265894,0.0,0.0,0.0,1.0431659,0.0,0.0,0.0,0.0,0.0,4.642684,0.88854045,train
0.0,0.0,0.0,1.3061011,0.0,0.0,0.0,0.19493271,0.0,0.0,0.0,0.0,4.213175,0.0,6.5258536,0.0,0.0,0.0,1.0427519,0.0,0.0,0.0,0.0,0.0,4.6421804,0.88854045,train
0.0,0.0,0.0,1.3061099,0.0,0.0,0.0,0.19474018,0.0,0.0,0.0,0.0,4.2131214,0.0,6.5260916,0.0,0.0,0.0,1.043062,0.0,0.0,0.0,0.0,0.0,4.6425667,0.88854045,train
0.0,0.0,0.0,1.3061674,0.0,0.0,0.0,0.19475067,0.0,0.0,0.0,0.0,4.2117767,0.0,6.5234,0.0,0.0,0.0,1.041948,0.0,0.0,0.0,0.0,0.0,4.6404104,0.88854045,train
0.0,0.0,0.0,1.3057991,0.0,0.0,0.0,0.19360603,0.0,0.0,0.0,0.0,4.2112384,0.0,6.5231504,0.0,0.0,0.0,1.0421067,0.0,0.0,0.0,0.0,0.0,4.6406035,0.88854045,train
0.0,0.0,0.0,1.3063128,0.0,0.0,0.0,0.19567965,0.0,0.0,0.0,0.0,4.213183,0.0,6.525693,0.0,0.0,0.0,1.0426358,0.0,0.0,0.0,0.0,0.0,4.6415257,0.88854045,train
0.0,0.0,0.0,1.3066783,0.0,0.0,0.0,0.19472682,0.0,0.0,0.0,0.0,4.213129,0.0,6.526262,0.0,0.0,0.0,1.0428977,0.0,0.0,0.0,0.0,0.0,4.6424637,0.88854045,train
0.0,0.0,0.0,1.3061273,0.0,0.0,0.0,0.1946997,0.0,0.0,0.0,0.0,4.2130127,0.0,6.525998,0.0,0.0,0.0,1.0430633,0.0,0.0,0.0,0.0,0.0,4.642563,0.88854045,train
0.0,0.0,0.0,1.3061736,0.0,0.0,0.0,0.1957017,0.0,0.0,0.0,0.0,4.213044,0.0,6.5252495,0.0,0.0,0.0,1.0425663,0.0,0.0,0.0,0.0,0.0,4.641408,0.88854045,train
0.0,0.0,0.0,1.3064771,0.0,0.0,0.0,0.19672604,0.0,0.0,0.0,0.0,4.2141604,0.0,6.525694,0.0,0.0,0.0,1.0429877,0.0,0.0,0.0,0.0,0.0,4.6417108,0.88854045,train
0.0,0.0,0.0,1.3066369,0.0,0.0,0.0,0.19522293,0.0,0.0,0.0,0.0,4.213413,0.0,6.52568,0.0,0.0,0.0,1.0434588,0.0,0.0,0.0,0.0,0.0,4.642444,0.88854045,train
0.0,0.0,0.0,1.3055921,0.0,0.0,0.0,0.19465059,0.0,0.0,0.0,0.0,4.2129374,0.0,6.525817,0.0,0.0,0.0,1.0432016,0.0,0.0,0.0,0.0,0.0,4.642655,0.88854045,train
0.0,0.0,0.0,1.3059167,0.0,0.0,0.0,0.19571145,0.0,0.0,0.0,0.0,4.212982,0.0,6.524952,0.0,0.0,0.0,1.0425453,0.0,0.0,0.0,0.0,0.0,4.641354,0.88854045,train
0.0,0.0,0.0,1.306043,0.0,0.0,0.0,0.1953921,0.0,0.0,0.0,0.0,4.213414,0.0,6.5252542,0.0,0.0,0.0,1.0433327,0.0,0.0,0.0,0.0,0.0,4.642162,0.88854045,train
