LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6,CURRENT|1,CURRENT|2,CURRENT|3,CURRENT|6
0.341797,6.47583,0.421143,0.0,22.200148,284.270207,483.336283,181.730994,-1e-05,-1e-05,-9e-06,-0.362994,-0.341797,-6.47583,0.415039,0.0,22.200139,284.270198,483.336274,181.368,-1e-05,-1e-05,-9e-06,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,-1e-05,-1e-05,-9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214789,284.310445,483.319422,181.730994,22.200148,284.270207,483.336283,0.0,-0.273438,-5.185547,0.336914,0.0
0.341797,6.481934,0.415039,0.0,22.200139,284.270197,483.336283,181.730994,0.0,0.0,-9e-06,-0.362994,-0.341797,-6.47583,0.421143,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,-9e-06,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214789,284.310445,483.319422,181.730994,22.200139,284.270197,483.336283,0.0,-0.273438,-5.180664,0.332031,0.0
0.341797,6.481934,0.415039,0.0,22.200139,284.270197,483.336283,181.730994,0.0,0.0,-9e-06,-0.362994,-0.341797,-6.47583,0.427246,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,-9e-06,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214787,284.310447,483.319418,181.730994,22.200139,284.270197,483.336283,0.0,-0.273438,-5.180664,0.336914,0.0
0.341797,6.481934,0.421143,0.0,22.200139,284.270197,483.336273,181.730994,0.0,0.0,0.0,-0.362994,-0.341797,-6.47583,0.421143,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214787,284.310445,483.319418,181.730994,22.200139,284.270197,483.336273,0.0,-0.273438,-5.180664,0.336914,0.0
0.341797,6.481934,0.421143,0.0,22.200139,284.270227,483.336273,181.730994,0.0,-2.9e-05,0.0,-0.362994,-0.335693,-6.47583,0.415039,0.0,22.200139,284.270198,483.336274,181.368,0.0,-2.9e-05,0.0,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,0.0,-2.9e-05,0.0,0.0,0.0,-0.000969,0.0,0.0,0.0,0.0,0.0,0.0,22.214789,284.310445,483.31942,181.730994,22.200139,284.270227,483.336273,0.0,-0.273438,-5.185547,0.332031,0.0
0.335693,6.47583,0.421143,0.0,22.200139,284.270178,483.336273,181.730994,0.0,2e-05,0.0,-0.362994,-0.341797,-6.47583,0.421143,0.0,22.200139,284.270198,483.336274,181.368,0.0,2e-05,0.0,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.000659,0.0,0.0,0.0,0.0,0.0,0.0,22.214787,284.310445,483.31942,181.730994,22.200139,284.270178,483.336273,0.0,-0.273438,-5.180664,0.336914,0.0
0.335693,6.47583,0.421143,0.0,22.200129,284.270188,483.336283,181.730994,1e-05,1e-05,-9e-06,-0.362994,-0.341797,-6.47583,0.421143,0.0,22.200139,284.270198,483.336274,181.368,1e-05,1e-05,-9e-06,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,1e-05,1e-05,-9e-06,0.0,0.000328,0.000333,0.0,0.0,0.0,0.0,0.0,0.0,22.214789,284.310445,483.31942,181.730994,22.200129,284.270188,483.336283,0.0,-0.273438,-5.180664,0.336914,0.0
0.341797,6.47583,0.421143,0.0,22.200129,284.270197,483.336283,181.730994,1e-05,0.0,-9e-06,-0.362994,-0.341797,-6.47583,0.421143,0.0,22.200139,284.270198,483.336274,181.368,1e-05,0.0,-9e-06,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,1e-05,0.0,-9e-06,0.0,0.000328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214787,284.310445,483.31942,181.730994,22.200129,284.270197,483.336283,0.0,-0.273438,-5.180664,0.336914,0.0
0.341797,6.47583,0.421143,0.0,22.200139,284.270207,483.336273,181.730994,0.0,-1e-05,0.0,-0.362994,-0.341797,-6.481934,0.421143,0.0,22.200139,284.270198,483.336274,181.368,0.0,-1e-05,0.0,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,0.0,-1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214785,284.310445,483.31942,181.730994,22.200139,284.270207,483.336273,0.0,-0.273438,-5.185547,0.336914,0.0
0.341797,6.47583,0.421143,0.0,22.200139,284.270197,483.336273,181.730994,0.0,0.0,0.0,-0.362994,-0.341797,-6.481934,0.421143,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,22.200139,284.270198,483.336274,181.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.214787,284.310445,483.31942,181.730994,22.200139,284.270197,483.336273,0.0,-0.273438,-5.180664,0.336914,0.0
