0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.010801667,-0.09211819,-2.0452225,0.00622572,-0.1016071,0.018685512,0.07064356,0.15888007,-0.015922997,2.5828385,0.11087402,0.03361696,1.8592918,0.007867268,0.025307797,0.098097876
0.010762045,-0.09215212,-2.0447497,0.006305922,-0.10141638,0.018691603,0.07106234,0.15853876,-0.015622515,2.5830584,0.110406615,0.03282884,1.8580241,0.007880007,0.02463238,0.09929629
0.010747986,-0.09214645,-2.044804,0.0064074863,-0.10164896,0.018680256,0.07157663,0.15858853,-0.015306309,2.5830543,0.11063947,0.032121234,1.8573546,0.007879684,0.024228826,0.100188434
0.010756691,-0.09216854,-2.0450878,0.0062867478,-0.101175636,0.018675692,0.07076259,0.15865816,-0.015664253,2.5827057,0.110606946,0.03307975,1.8587329,0.00785806,0.024775311,0.09925464
0.010750768,-0.09231796,-2.045107,0.0061403792,-0.100459084,0.01869943,0.07047494,0.15896268,-0.016049694,2.5826533,0.11011772,0.033586435,1.859161,0.007860016,0.025018983,0.09771408
0.010819216,-0.09237232,-2.0450327,0.0062976237,-0.100887075,0.01867557,0.070745766,0.15881428,-0.015689954,2.5834222,0.11100429,0.033438414,1.8583949,0.007886788,0.024965279,0.09958203
0.010832854,-0.09248567,-2.044987,0.0063100774,-0.10067049,0.018681929,0.07063144,0.15888937,-0.015680641,2.583586,0.11076504,0.03366477,1.8582866,0.007884015,0.024978995,0.0997127
0.010810488,-0.0922586,-2.0451484,0.006319331,-0.10122019,0.018662605,0.07093691,0.15885593,-0.015531365,2.5829246,0.11062109,0.033256076,1.858786,0.007860513,0.02490303,0.099411055
0.010771562,-0.0921812,-2.0452802,0.006351657,-0.10227795,0.018661253,0.07139736,0.15900733,-0.015341524,2.58279,0.110466965,0.033009805,1.8584534,0.00785948,0.02484969,0.09922017
0.010772,-0.09216032,-2.0452688,0.0063413586,-0.10219312,0.018653575,0.07141043,0.1589354,-0.015329182,2.582748,0.110493846,0.032974042,1.858555,0.007859848,0.024848498,0.09925634
0.010796281,-0.09216523,-2.0452063,0.00631742,-0.10152513,0.018663943,0.07104224,0.15885137,-0.015551988,2.5828025,0.110830516,0.033061225,1.8587918,0.007862816,0.024889313,0.099243656
0.010763332,-0.09210774,-2.0453393,0.006351296,-0.1025074,0.018663783,0.07152592,0.15901366,-0.015384015,2.5827818,0.110770546,0.03282255,1.8583853,0.007863967,0.024863787,0.099003315
0.010796286,-0.09216526,-2.0452063,0.006317416,-0.101524994,0.018663943,0.07104224,0.15885137,-0.015551973,2.5828025,0.11083048,0.033061247,1.8587917,0.007862814,0.02488929,0.099243656
0.010798762,-0.09210875,-2.0452223,0.0062247664,-0.10164355,0.018684912,0.07063347,0.15887581,-0.015912563,2.5827827,0.11082752,0.033611953,1.8593276,0.007866213,0.025293872,0.09812029
